content,labels
이브는 나쁘지 않아!,0
그전에 뭘 키웠나 했더니 이브 ㅋㅋㅋㅋㅋㅋ,0
테사 89층에서도 활약함,0
ㅋㅋㅋㅋㅋㅋㅋㅋ,0
그와중에 이브 4돌ㅋㅋㅋㅋㅋㅋㅋㅋ,0
네가 선택한 이브다,0
이브에 들어간 재료들이 아깝다ㅋㅋㅋ,0
근데 너가한 말 맞는말 아님?  4성 테사만도 못한 6성이 2명이나 있다는거 아녀 번개덱은,0
"그런데 니말도 틀린게 아닌게 이브, 레이스 같은 유사 6성같은 좆병신이 있어서 ㅋㅋㅋ 반은 맞고 반은 틀림",1
니가 선택한 이브다 악으로 깡으로 버텨라,0
사실 번개 나사빠진거 맞음 ㄹㅇㅋㅋ,0
이브 4돌인거 봐라 ㅋㅋㅋ,0
벽에 걸린 그림 제일 큰거 뭐임?,0
해변 패스 보상일걸 아마,0
봤더니 없는데?,0
그러네 모르겠다 ㅋㅋ,0
테--사기,0
난또 미카엘인줄 알았자너,0
케밥은 밥으로 못치나?,0
한끼 식사의 케밥은 밥이맞음,0
나는 자몽이냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
근하하하하,0
안웃기면 댓글달지말고 꺼지던지 븅신아~,1
-근-,0
근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하,0
근하하하하하하하하,0
오늘은 빠따 안찾네,0
고양이보다 근첩이 더 역겨워,0
이건 좀,0
콩진호에서 좀 웃겼다,0
콩진호는 아무것도 없이 저 표정만 봐도 웃김,0
ㅋㅋㅋㅋ 시발 좋은데 이거,1
콩진호 저 짤은 걍 치트키인가 왜 저것만 웃기지.,0
어디서 웃어야해?,0
퍼온거라 ㄴ상관,0
구몬ㅅㅂㅋㅋㅋ,0
이게웃겨?,0
트위터 피싸개식 유머 ㅁㅈㅎ,2
오 이게 트위터산인걸 알아보는 애가 있네,0
역시 그쪽출신이라 잘 아는구먼 ㅋㅋ,0
여기 피싸개 멀티임? 씨발 극혐이네 애미뒤진창년새끼들 ㅋㅋㅋㅋㅋ,2
솔직히 콩진호는 표정땜에 웃겼다 ㅋㅋ,0
가벼운 잽맞다가 콩진호에서 터졌네,0
근하하하하하,0
냐뇽,0
중간에 페미 섞여있어서 비추 준다,0
나말고 이거만든 놈에게 욕박는건 어떨까?,0
자몽 피식했다 ㅋㅋ,0
노꼴도 꼴이지,0
구몬 ㅅㅂㅋㅋㅋㅋ,0
솔직히 준우승도 우승이냐 는 웃겼다 물론 웃지는 않음,0
근하하하하하하하 유하하하하하하,0
근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!근하하하하하하하하하하하하하하하!!,0
근하하 하는건 좋은데 약간 무섭,0
ㅈㄱㄹ,0
이거 살짝 착시있다,0
페도하하하하 페도하하하하하 페도하하하하하 페도하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 페도하하하하 페도하하하하하 페도하하하하하 페도하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 페도하하하하 페도하하하하하 페도하하하하하 페도하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하,0
그래서 보이스카웃도 군대다.,0
홍진호 혼자 웃겼네,0
마들렌 ㅋㅋㅋㅋ,0
근하하하하하하하,0
끈하하하하하!!!!!,0
솔직히 캡틴 사각턱은 저딴 말할 자격없지.,0
준우승도 우승이냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
콩진호 빼고는 다 무표정 이었다 ㄹㅇ,0
뇌절 때문에 노잼 됨,0
그럼 나는 시발 미남이냐,1
냥드립 또 시동 거네,0
이게 인싸개그냐? 1미리그램도 안 웃긴데,0
근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하근하핳하하하하하하하핳하,0
유렉카 채널을 아카라이브의 대문(?)이라고 생각하는 사람들이 많아지는 것 같네요,0
근하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하하,0
무서워 그냥 근하하하하하하라고만 안돼ㅠㅠ,0
페도하하하하 페도하하하하하 페도하하하하하 페도하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하 븝미쨩하하하하,0
준우승도 우승은 좀 웃기노 ㅋㅋㅋ,0
준우승도 좀 쳐줘라 ㅋㅋ,0
콩진호는 웃겼다,0
뿜업 수준;;,0
에반데 진짜 2000년대 갬성ㅋㅋ,0
악법은 없어져야할 법이고 위선은 그냥 선 보다 나쁘다,0
알ㅇㆍㄱ,0
트짹 페미 감성 시발새끼야,1
구몬은 씨발 레전드 아니냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하근하하하하하하하,0
아무말대잔치네,0
근하하하하,0
정세균도 세균이지,0
술탄 드립만 인정,0
ㅋㅋㅋㅋㅋ,0
근드립새끼들 정신못차렸노,1
콩진호만 웃었음,0
근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하 근하하하하하,0
페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 페도하하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하 븝미하하하하,0
진짜 좆노잼이다,1
나도알어 그러니 원본에게 말하자 좆노잼이라고,1
느그가 알면 좆같은거 들고오지 말고 니가 말해,1
구몬은 좀 치노 ㅋㅋ,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
준우승 건졌으면 됐다,0
예시라고 나온게 죄다 글자 뜻이 다른데... 무식 자랑밖에 더 될까,0
진짜 개 씹노잼 트위터 감성,1
근하하하하!!,0
3번 9번은 뭐냐 대체;;,0
콩만 피식했다,0
여기도 주작돌아가냐,0
저딴글에 추천들어가는 냥드립 mk.2 수듄WWWWWWWWWWWWW,0
댓글 화난게 더웃겨ㅋㅋㅋ,0
좆같네 재밌냐이게,1
술탄은 피식했다,0
짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!짹!하하하하하하하하!,0
뇌절 좀 적당히,0
고로시 당했네ㅋㅋ,0
실베 고로시 ㅋㅋㅋㅋㅋ,0
추천 존나게 쳐 후하노,0
20만원어치 일감뛴 모네라니 귀하내요...,0
ㅗㅜㅑ 바니걸 모네 잭오챌린지 감사합니다,0
ㅋㅋㅋㅋㅋ 와 입상소감으로도 작품을 만들어주시네 개꿀,0
'다른 이름으로 저장',0
왜 돌쇠에게 쌀밥을 주었을까,0
거울치친이 내 애인을 현혹했어,0
아...,0
채붕아 고닉을 파,0
오..,0
게이야...,0
이러니 피싸개챈이란 소릴듣지,1
드립인데 병신인가 ㅋㅋ,1
딱 봐도 드립같은데 찐으로 발작하는애들 보이네 1984에서 마냥 분노주입 당한것 같노,0
역시 집이 있어야,0
자기보다 키 작은 채무처리인보다는 보물사냥단이 낫다는거냐,0
ㅁㅊㅋㅋ,0
ㅋㅋㅋ 비경에 둘이서 저러고 있을때 띠용했다,0
저새끼 고백하려고 했네ㅋㅋ,0
거울누나 2M는 되지않나,0
이거 나만생각하던게 아니었노 ㅋㅋㅋ,0
