content,labels
파인다이닝 돈 드럽게 못 벌어서 더 화난 게 아닐까 ㅋㅋ,0
지금도 레스토랑 운영하는 곳 있지않음?,0
야로나로 다 폐업했대,0
천안에 있어요,0
권셰프 장사 오지게 말아먹었자나,0
승우아버지가 인건비를 올리셔서,0
에드워드권 누가 사업한거글쓴거보니까 다말아먹었다던데,0
원래 파인다이닝 돈못번다고함 ㅋㅋㅋ 그거 왜여는지 몰라,0
요식업이 어렵긴하지,0
존나 간지나잖아 그런 명예욕 때문에 뛰어든다고함 문화적으로 경제적으로 본산지인 곳에서도 수익율 낮다는데 한국처럼 가난해서 가성비만 따지고 땅값만 뒤지게 높은 동네에서는 중산층 이상 상대로하는 미식산업은 성공못하지,0
정신적 갈증을 해소하는거지,0
인맥 쌓기도 좋음 인터뷰도 자주 오고,0
최현석도 것멑이 많이 차지한다고하더라,0
스타쉐프들 방송이든 광고든 안 물어오면 적자로 망한다고 한다더라ㅋㅋㅋ,0
"최현석도 파인다이닝 ㅈ빠지게 해봤자 적자 투성이라더라. 그럼에도 꾸역꾸역 하는 이유가 ""간지"" 때문이래. 멋있고 명예도 챙기지만, 그런 간지나는 모습을 보고 후배들의 롤모델이 되고 싶어서라더라",0
다 파인다이닝 근처도 못가본 놈들이 승우아빠 유튜브보고 아는척 좆빠지게 하네 인터넷이 참 좋다 그지?,1
ㄴ게이는 파인다이닝 안가봤노?,0
ㅈㄴ 카리스마 있었는데 동네 옆집 아저씨네,0
금융치료받았네,0
얼굴 그대로 인거 보아선 금융치료로 회춘했네,0
남자의자격 라면편에 나온 사람 ㅋㅋ,0
쟤 유튜브도 파인다이닝 적자 매꾸려고 한다던데,0
"파인다이닝 멸종은 보기 싫어서 방송, 홈쇼핑 등 다해서 적자 매꿔왔다더라",0
이미 문닫고 천안에서 베이커리 카페 운영함 빵 진짜 맛있음,0
ㄴ 셰프님 디씨도 하시네,0
논란이 많은건 둘째치고 대단한 사람이긴 함,0
보니까 본인이 직접 진두지휘 안할 뿐이지 아직도 지방에서 파인다이닝 하던데,0
팩트만 얘기해라 좀! 파인다이닝 코로나 때문에 문 닫았고 지금 천안에서 베이커리 카페 운영함 수제빵이라 진짜 맛있고 매장도 넓직해서 분위기 괜찮음,0
말투보니까 ㄹㅇ 본인인가 의심되노 ㅋㅋㅋ,0
말투뭐냐구 ㅋㅋㅋ,0
셰프님...,0
본인이냐고 ㅋㅋㅋ,0
에드워드 권 솊..,0
본인 등장 ㅋㅋ,0
천안 배이커리는 망했고 파인다이닝 열심히 한다더라,0
ㄴ 서울 아이피네,0
ㅋㅋㅋ본인이래ㅋㅋㅋ,0
에권 본인이 등판해버렸노 ㅋㅋㅋ,0
권셰프님 로그인하세요,0
본인 ㅋㅋㅋ,0
셰프님 고닉파서 새벽에 야갤 들어와주세요,0
갑자기 나오시면..,0
셰프님 목소리가 들려요 ㅋㅋㅋ 잘보고있어요 랩24 갔는데 정말좋았어요,0
진짜 본인말투같은데 ㅋㅋㅋ,0
에드워드 권 디시하노 ㅋㅋㅋ,0
로갓해라 게이야 ㅋㅋ,0
좀! ㅇㅈㄹㅋㅋ,0
로각좁해라게이야,0
ㄴ 에드워드 게이야 ㅋㅋㅋ,0
아니 씹 본인 등판 먼데 ㅋㅋㅋ,0
본인 시팔 ㅋㅋㅋ,0
셰프님 그래서 빵집 이름이?,0
빵집이름 뭐임? 권쉡이름봐서 가게 ㅋㅋㅋ,0
에드워드 게이야 ㅋㅋㅋ,0
본인등판ㅋㅋㅋ,0
셰프 게이 디시하노ㅋㅋ,0
122.46 이거 진짜 천안 아이피네,0
이분 뭐하시는 분인데 여기저기서 자주 언급됨?,0
요리사들 언론매체노출 1세대라고 보면됨 상징성이 크지,0
최현석 이원일 이런냉부애들이전에 1세대지,0
셰프라는 단어 보편적으로 쓰이게 만든 사람,0
1세대는 구본길 이런사람이지,0
어르신들와서 코스요리 내는데 쌀밥에 김치달라고 지랄하는경우 많음,1
그래도 에드워드 권 유튜브 보니 간단한 음식 만드는 데도 짬이 느껴지더라 괜히 스타 쉐프가 아님,0
파인다이닝 돈 못벌고 힘만 더럽게 든다고 하던데 왜 하는거임?,0
요리를 좋아해서 더 고급스러운 요리를 하고싶거나 자기 커리어를 올리기 위해서 등등 여러가지 이유에서인듯,0
본인들 말하는거보면 대부분이 뽕이 차니까 간지나니까 요리 실력으로 도달할수있는 제일 높은 경지니까 뭐 이러더라 맘만 먹으면 언제든 돈되는 대중음식으로 전향도 가능하고,0
잡소리 다필요없고 가오 하나로 하는거라더라,0
명예를 위해서 하는거,0
파인다이닝 문화를 유지하는거랑 거기에서 느끼는 보람이랑 멋 같은거때문에한다함 돈되는건 고기 베이커리 카페 이런쪽이 더 잘 된다는거같음,0
일단 홀이나 요리인력들이 다 알바로 충원이 안되고 경력직 고급인력만 써야하다보니 인건비가 일반식당보다 훨씬더듬. 재료값을 둘째로 치더라도,0
물론 모 스테이크하우스같은경우엔 그냥 품질 쓰레기 알바로 때우면서 가격은 20만원 받는데 그런식으로 뜨내기 등쳐먹는 방식 아니면 돈 절대 못번다..,0
푸드코스트도 로스가 많아 앰창인데 더 심한게 인건비랑 임대,1
파인다이닝을 어디 할렘가에서 할 순 없으니 수요층 오기 편한 곳으로 가면 일단 임대료가 미쳐날뛰는데 거기에 테이블당 숙련된 서버 하나씩 붙이다보면 인건비도 십창남,1
유투브 기타 잡 다른 레시피 쓸 필요없이 에드워드권 유투브 레시피만 써도 너도 여친한테 사랑 받음,0
유튜브 재밌음 ㅋㅋㅋ,0
