content,labels
비대칭은 ㄹㅇ 경락이 답인거같긔,0
좆예인들 하나같이 경락조지는 이유가 있어,1
1학년때는 쇼핑몰 ㄹㅇ 7백개는 보면서 옷골라입엇는데,0
짱구년처럼 위아래 세트인거만 잔뜩사서 그거 일주일돌려입음,0
사진만 찍으면 존나 장혜같이 뚝딱대긔,0
카메라 무섭기,0
샤넬 레베쥬가 왜 좋은거긔?,0
이유가 뭐긔?,0
아멜리 파데 써본언냐있노,0
급식때 우리반에 비대칭 정병년 존나 웃겼는데,1
그년이 애들 한명씩 얼굴 대칭 어플 돌려줘서 대칭 정병 전파함,0
이년 나랑 같은 반이엇ㄴㅎ,0
나 곧 씹매될듯,1
딸년 잦친생긴눈치긔,1
이런색 잘어울리면 봄이긔?,0
가을아냐?핑크도 잘어울여야 봄이지,0
핑크랑 상관없오,0
가을이긔,0
봄이 저거 바르면 개줌마됨,0
봄 가을 옷입는꿀팁,0
그거 일주일내내 돌려입으면 옷 살필요 x,0
요즘 샤넬 레베쥬보다 울트라르뗑이긔,0
가릴거많은년들 테스트해봐,0
단독입수면 제보 아니긔,0
폰카화질임,0
안막아준거지,0
윤곽하고 경락해도되긔?,0
좆옌들 다 하잖아 했다고 말하고 받으면 됨,1
매트립이 오히려 안어울리는건뭐긔? 존나 텁텁해짐,0
띠니 입술이 좀 두꺼워서 그런가 매트립바르면 줌내나긔,0
여괴랑 똑같은거긔 걍 글로시가 잘어울리는거,0
아 ㄹㅇ 여괴같아짐,0
무죄윤입술같은거,0
띠니도 번들거리는게 낫긔 좆간마다 다른가봐,1
온니들 나 회사인데 보지가 노무 아파,1
이런 바지 입었는데 봊이 노무 아프긔... 미치겠어 퇴근까지 3시간 30분 남았는데,1
ㅋㅋㅋㅋㅋㅋㅋ,0
궁뎅이 최대한 뒤로빼봐,0
생리대 차,0
헐 둘짱 사형집행됨,0
믿네 병신들,1
띠니언니 화장안해서 그런가 ㅈㄴ어리게보긔,0
갓갓글 어장관리 같아서 웃기긔,0
갓갓답긔,0
이 온냐 이제 예뻐보여,0
익숙해졌나봐,0
이시진은 이쁘노,0
각도따라 눈모양 노무 다르긔,0
위에서 보면 ㅈㄴ올라갓는데 정면이나 아래로 보면 축쳐졋어,0
아니 뭔 소바니 어쓰니 존나 유행탔던거 사실보면,0
봊들한테 보통 안어울리는데 좆옌만 보고 쳐따라사서,2
ㄹㅇ 존나 텁텁해,0
갑자기 존나 시원하노,0
태풍띠니 올라오고 있나봐,0
씹승이는 시체같은데,1
겨딥맞긔?,0
그나마 흑발이 낫잖아,0
근데 겨쿨은 한녀들 중에 많지않긔?,1
다 보정인가,0
제일 없는데,0
제일 희귀함,0
거의 갈뮽 여쿨 이런거아니노,0
제일없긔,0
띠니는 그냥 미국초딩룩이 편하긔,0
하와이 코스트코나 월마트산 ㅌㅊ의 존아 편하고 알록달록한 티 입긔 이런 옷들 재질도 은근 ㅅㅌㅊ라 노무 편해,0
급식때 거의 3년쓴 틴트긔,0
화장안한지 10년 다되어가노,0
헐 나도ㅋㅋ이거 존나 금방 씀,0
블래 화이트 대비 잘받는 좆간이 ㅅㅌㅊ야,1
갓양인들처럼 와꾸까지 빡세면 분위기ㅅㅌㅊ잔아,0
역대급 허위매물,0
여기에속아서 아름다워 5백번들음 시발,1
아시발,1
ㄹㅇ 마에스트로 존나들음,0
면접준비하고 있긔 면접은 왜 이렇게 어려운거긔ㅠ,0
피가 말리노,0
근데 겨울브라이트 봄브라이트 이런년들 불쌍하긔,0
화장 안하면 존나 시체처럼 보여 챙프도 그렇고,0
대리기르는 게 제일 힘들긔,0
어깨선 넘는 순간 노무 거슬려서 북다닥 자름,1
사각턱보톡스나 윤곽주사 되도록 안맞는게낫노???,0
좆같아 턱,1
보톡스는 괜찮긔,0
보톡스는 ㄱㅊ 윤곽주사가 구림,0
윤곽 왜 뭐있음? 나 턱살에 맞았는데 괜찮던데,0
난 봄라가 제일 이뻐보이긔,0
화장 안한거같은 그런 느낌,0
그것도 본판이 ㅅㅌㅊ여야 이쁜거귀,0
ㄹㅇ 숄이나 우익처럼 본판이 ㅆㅅㅌㅊ여야하긔,0
퍼컬 찾는 기준이 쌩얼아니긔? 근데 화장하면 어차피,0
와꾸 톤업하잖아 그래도 쌩얼에서 베스트 색 찾긔?,0
매말이,0
쌩얼이든 화장한거든 똑같긔 잘어울리는건 항상 잘어울려,0
쌩얼에도 잘맞는색 바르면 와꾸 환해지긔,0
머리 한번 단발하면 긴머리는 생각도 안날듯,0
머리감고 말리는 시간부터 확 달라서 진짜 존나 편하긔,0
아냐 또 하고 싶어 변덕이 그래,0
난 톤 신경안쓰고 화장 염색 막하긔,0
씹토인되는색만 거름,1
옹니들 누드립 추천좀,0
띠니가 바르고 다니는건 이니스프리 밀크티베이지 맥 라제페어 롬앤 핑크 샌드 세잔느 102 힌스 얼루어,0
언냐들 이거는 무슨 톤이야,0
이거 단종돼서 슬퍼,0
솦갈,0
가을딥톤 없긔?,0
급식때 힙찔이 쫒아다녔는데,0
난 잦돌같은거 빠는년들이랑 다른 핫걸이긔 ㅋ 하는 허영심이 있었긔 가사 개빻은거 알면서도 그게 힙한줄 알았오,2
다 그 심리지 머,0
주변에 퍼컬에 미친년 있었는데,0
몇년 전이라 지금은 어떻게 사는지는 모르겠지만 퍼컬에 미쳐있을 돈으로 걍 옷 좀 더 깔끔한거 입고 미용실이나 가지라는 생각을 했긔,0
턱보톡스 그냥 안맞는 걸 추천하긔,0
보톡스 자체가 무표정일때의 와꾸형을 기준으로 근육 빼는 건데 좆간이 웃기도 하고 말하면서 근육 계속 쓰는데 근육 몇 개만 안움직인다 생각해봐 존나 살 흘러내린사람처럼 보이긔 실제로도 흘러내리고 ㅅㅂ 절대 맞지마 그냥,1
이년은 알지도 못하면서 아는척하노,0
이번학기 대면인 온냐들?,0
우리학교는 비대면이긔❤+,0
숄같은 립 바르면 시체되긔,0
니베아펄진주바른거마냥,0
연머언냐 갓반인 기준 ㅍㅅㅌㅊ 맞는데 키도 크고,0
언냐들 좆별만 보지 말고 밖에 나가시긔,1
이쁘긩,0
턱이랑 미간 꾸준히 맞고 있긔,0
보상근육 없음 한 3년맞은 듯,0
띠니 봄웜이긴한대 이상하긔?,0
차차틴트 최애픽템 머리는 붉은기없는갈색해야 어울린다고하는데 파스텔톤존나안받긔 파란색같이 원색잘받고  쨍한 파랑받긔 근데 또 흰색은 노무흰색이안어울리긔 대체뭐긔,0
봄웜이 아닌거긔 진단 받아봐,0
그래야겠긔 쿨톤은 확실히 안받는대 전문가가제일좋겠지아무래두,0
봄브 아님?,0
찾아보겠긔,0
봄 라이트말고 브라이트면 그럴수있긔,0
그러냐긔 고맙긩,0
띠닌 이런것도 회피성의 일종으로 보이긔,0
현실도피 ㅆㅅㅌㅊ,0
이모시녀들이 유독 심하자노,0
갤에 99프로가 현실도피충이니까 갤을하는거긔,0
난 가을뮤트가 젤 이쁜거같긔,0
이언냐 때문에 갈뮽되고싶었삼,0
