content,label
알리는 저 중에서 3손가락 안에 꼽힘,0
이미 영화도 찍었을 듯. 주성치 나오고,0
페까지만 이건 ㅇㅈ,0
do you know uzi?,0
ㅇㅇ + 씨맥케이스,0
제트선에서 정리,0
너무 갔어 선수들이 어려워한다고 인터뷰 많이 나옴,0
쵸비 라인전은 부정 못함,0
도파가 인정했다 이말이야,0
디시에서 드립은 만갤이 잘침,0
선수들이 받을 스포트라이트를 너무많이 가져간감이 많음,0
나만 재미없나?,0
사람마다 다를 수 있지,0
근데 그리핀 팬은 씨맥팬 중심이고 슼팬은 페이커팬 중심이라 저렇게까지 팀 씹창나면 즙이 한 마디 해서 양대인 담궜을 듯 ㅋㅋ,1
롤판 최악의 팬덤은 대꺠맥이랑 초기견같다,0
놔둬라 정확한 사태가 판단 안되는 돌대가리들 천지임 머리가 나쁜걸 우찌할끼고,0
씨맥 슼으로 따지면 김정균 이상 위친데 비유가 잘못됐노 ㅋㅋ,0
협박 받고 있는 거 아니냐,0
그럼 지 감독 능력없다고 할까,0
킹겐이 대깨맥이라 쉴드 쳐주는 거,0
"2년차 2명, 신인2명(오너 구마) 인데 자금력? 심지어 칸나도 슼에서 키움ㅋㅋ",0
커즈케리아 영입 그전엔 칸클리드테디영입 ㅇㅇ,0
지금은 21년인데 19년도 얘기하는 병신ㅋㅋ,0
계약 올해까지아님? 걍 나갈걸 이미 오더 자리잡음,0
나이트도 작년 월즈 때 잘했는데? 팀원들이 못한거지? 프나틱전 나이트 아니었으면 올라갔을거 같음?,0
지랄 ㅋㅋ 프나틱전도 카사가 다 했다 나이트는 줏어먹은 거지 카사가 차주는거 ㅋㅋ,0
나이트 drx전 1차미드에서 3인궁 빼고 클러치 플레이도 없음 ㅋㅋ 차라리 카사가 클러치 플레이어였지,0
둘이 친하냐,0
세나,0
원,0
본인 미드 조이였음,0
ㅊㅋ,0
너가졌네,0
혜지년해서 그런거임,0
상대미드한테 벽느끼고 아헤가오하는 페이커보단낫지,0
무관의 아헤가오는 언제 끝나냐,0
그 아헤가오보다 6위나 밀리는 미드가 있다?,0
개찐따마냥 아헤가오하는 움짤 자꾸 생각나노ㅋㅋㅋ,0
"칸나, 오너가 지금처럼 크지 못하는 건 진짜일 듯 ㅇㅇ",0
+ 팀이 지고있을때 역전안나옴,0
최근티원이랑했던 1세트 지고있다가 역전한건데?ㅋㅋㅋ,0
쵸기견 아니랄까봐 ㅋ,0
즙독답다 팩트앞에 할말없으니 비하만해대노ㅋㅋ,0
이딴망상 왜함?ㅋㅋㅋ 그 새끼 T1올일없는데,0
ㅋㅋㅋ 이론상 최강팀,0
ㅋ 탑도 바꾸긴 해야함. 탑 너구리사고 정글 커즈사면 좋냐?,0
와 쵸비 지능에 커즈 지능을 얹으면ㄷㄷㄷ,0
lck자체가 인기없어 슼빼곤,0
롤-슼=0 그냥 닥치고 외워,0
인기가 없다기엔 슼제외 압도적인데,0
롤갤만 담갈이 ㅈㄴ 많고 유튜브는 슼팬이 훠얼씬많음,0
난 담원 응원함,0
lck = t1 기억해둬라,0
그나마 이것도 많은거임 티원 대 젠지가 결승전이였으면 ㅋㅋㅋ,0
최소 8강 최대 8강 예상,0
킹즈리얼,0
닉네임이 케틀인데 이즈고르라고하네..ㅋㅋㅋㅋㅋ 케틀 요즘 별로인거야?,0
딱히 좋은편도 아니고.. 이즈 조금만 연습하고 감 잡으면 되게 재밌엉,0
이즈지 트리는 싼편이고 케틀은 그닥,0
케틀받고 스타터팩(바텀) 사셈,0
스타터팩(바텀)구성: 이즈 베인 루시안/ 각 스킨1개/ 경험치부스터 / 룬페이지,0
롤드컵 한번 더 올리고 리그 우승도 5-6번쯤 하면,0
그렇게 못하고 은퇴하면 크라운이나 폰정도로 끝일걸,0
^물로켓^,0
결승갔는데 물로켓이면 아닌놈이 없노ㅋㅋ,0
^즙썀뿅^,0
병신ㅋㅋㅋ,1
물로켓찌이이익~~~,0
무력도르도 8위딱이면 걍 서밋 하위급 취급당한다 쵸비는 항상 무력으로 다 찍어누르고 다녔음? 못할때도 확실히 있었는데,0
1뎃을 하면 팀이 망한다고 할정도로 날라다녔으니깐 올해 쵸비 솔까 꾸준히 잘했음? 누가봐도 개못한적도 많음,0
대놓고 팬들도 태업하는거 아니냐 소리까지 들은 경기도 많이 나옴,0
마갤이나 팬사이트에서도 지들이 인정한 내용인데? 오른잡고 똥싼날 날짜대비헤서 검색이라도 쳐해보던가,0
지표도르 라인전도르 그렇게 빨리던 기인 지금 이만큼 언급됨? 그냥 중위딱선수로 박혀버렸지,0
탑연봉1위 쳐먹은것도 그런 과거 커리어땜시 빨리는거잖아 결국 중위딱선수로 지금은 그렇게 박혀버렸고  쵸비도 마찬가지로 과거커리어땜시 이만큼 빨리는거임 페이커랑 다를바없음,0
할말없으니 패드립으로 나오노 ㅋㅋㅋㅋㅋㅋ 항상 쵸독새끼들 까이면 패드립으로 마무리짓더라,0
관계자 선수들 전부다 기인 존나빨아줫지 과거에 존나 잘한것도 있었고 ㅇㅇ 결국 3년내내 중위딱 선수로 마감됫고 쵸비도 다를바없다,0
쵸비가 내년에 쇼메처럼 lck우승 롤컵우승이라도 하지 않는이상 퇴물이라고 봐야지,0
저항군이 낫다,0
정복자는 저항군이 멋있고 난입은 악물제가 더멋있음,0
오우 디테일 제이스좀치나봐,0
성기사 제이스빼고 다 써봤는데 전투사관학교가 제일 좋던데 부캐는 저항군 제이스만 있었는데 내 취향이이상한건가 진짜 기본스킨보다 별로라 전투사관학교삼,0
Qt,0
그거 오랫동안 해야대,0
누가 물어봣나,0
헐 남호야 너 롤갤하냐,0
왕자영요,0
크로스파이어 던파,0
원신아님?,0
던파,0
너구리가 모든 밈의 중심이었는데 당연하지,0
ㄹㅇ 담원 밈 전멸함 ㅋㅋ,0
와꾸 자체는 이정현이 좀 더 내취향이긴함 윤수빈이 못생긴 건 아닌데 걍 취향차이,0
ㄹㅇ ㅋㅋ 근데 그전에 쵸비는 우승부터 하면 좋을뜻,0
네다음 개븅신 인생막장 쵸기견ㅋㅋ,1
와 쵸기견은 진짜 충성심 지리는듯 우승한번도 못한 미드를 올려치기 ㅈㄴ해주네,0
고버지 어때? ㅎㅎ 23년에 풀려,0
페이커는 에이징커브 되게 늦게온편임,0
아 그런거?,0
페이커가 에이징커브가 빨리왔다라 지금 당장도 결승갔는데,0
대깨맥 왈) 감독이 쵸비 발굴했엉!,0
의미없는새기가 핵심이니까 까는거자나 지능없는새기야 ㅋㅋㅋ,1
이새낀 진짜 머리 나쁜득,1
선수의 급이 다르잖아,0
좆도 아닌새끼가 핵심역할한다고 나대니깐 까는거지,1
뭐라는거임,0
ㄹㅇ 내려칠 것도 없는데 어떻게 내려침,0
어떤데?,0
바론무새 vs cs무새,0
정글없어도 라인전하는 쵸비 혼자크면 신인 커즈 ㅋㅋ,0
보지에 뽀뽀 해줄게,1
흐아..,0
이번에 선발전 다음주 화수목,0
31일부터임 화수목,0
G2는 담원이 떨어진 급이지 원래 시드 한 자리 맡아놓는 팀인데,0
프나틱이 t1아닌가? 제일 근본이잖아,0
ㅋㅋ 불가능하네,0
시발 커리어 좆되긴 하네 ㅋㅋㅋㅋㅋㅋㅋ,1
ㅋㅋㅋㅋ 2025년?,0
군대를 2번갔다와도 불가능이노ㅋㅋㅋ,0
ㅁㅊㅋㅋㅋㅋㅋ,0
ㅋㅋ 바로 비추 찍힌 게 좆나 웃기노 ㅋㅋ,1
