content,label,16000
개추수집기,0,
아닌데? 이름없는 명함도 주는데?,0,
sr 한계초월 + 태포 먹는 이벤트지ㅋㅋ,0,
1500태포 ㅋㅋ,0,
ㄹㅇ 먹을거 좆도 안줌ㅋㅋ,1,
프리코네 처럼 신캐 포함해주는 무료뽑 아닌이상 다 그런거지 뭐..,0,
70뽑주는 옆집보다야 150뽑 주고 픽업도 여러개인 여기가 낫지,0,
먹을거 있다고 실드칠 뉴비도 없는겜됏노ㅋㅋㅋㅋㅋ,0,
돌리다보면 구관병이라도 떠서 다행임,0,
머신갑.. 어디갔어..,0,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
뭐야 시발 ㅋㅋㄱㅋㄱㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋ,1,
파랗게되는병~,0,
미래를 본 대가가 좀 쌔네,0,
아 추천 그만눌러라,0,
진짜 됬네 ㅋㅋㅋㅋㅋㅋㅋ,0,
ㅋㅋㅋㅋㅋ ㅎㅈㅋㅋㅋ,0,
미래를 보는자 ..... 그 대가를 치를것이다,0,
미래를 들여본댓가,0,
점마 왜 파래지노 ㅋㅋ,0,
큰힘에는 큰책임이 따르는 법이지,0,
점마 왜 파래지노,0,
파래졌노 ㅋㅋ,0,
어어 손가락이 왜 파랗노,0,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ임마왜파래졋노?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
미래시 쓰다걸려서 퍼래졋내,0,
푸하하하하하하하하하하,0,
완벽하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
네가 선택한 파딱이다 ㅋㅋㅋㅋ 악으로 깡으로 버텨라,0,
내가 선택 안했어 야발,0,
풀 저렇게 많으면 ㄹㅇ 벌레들 오질텐데 이탈리아는 어떻게 해결한거지,0,
피톤치드가 벌레 쫓는 효과 있을걸,0,
ㅇㅇ맞음 원래 피톤치드가 벌레 죽이는건데 사람몸에 좋아서 쓰이는겨,0,
모기 개무섭네,0,
각다귀는 안물지 않음>?,0,
모기무섭노,0,
이탈리아는 어캐해결한거임,0,
피톤치드,0,
애초에 설계되는 지역의 환경이 극심하게 다름. 짱개새기들 다습한환경에 저따구로 지어놓으니 걍 아마존된거임,0,
환경 차이지 뭐,0,
쓰촨이면 머구처럼 분지에 고온다습이니...,0,
저 중국 아파트는 서울시장선거 토론에서 나왔던거네. 박씨가 수직정원 타령하니까 오씨가 저거 예시로 들면서 효용 없다고 비판했었음. 그러니까 대꾸한다는게 인공지능과 삼투압 빗물로 키우면 된다면서 스타트업 운운하는게 정말 혐오스러웠었지. 수직정원을 똑바로 지으려면 개당 수천억씩 예산투입된다는데 한국에선 정말 실용성이 없음..,0,
의도는 좋지만 한국 기후도 생각을 해야지,0,
증명서에 대놓고 crane-fly 각다귀라고 적혀져 있구만 대왕모기라고 사기치는 거 봐라,0,
괜찮아 중국혐오 주작은 국익에 이롭더,0,
각다귀는 한국에도 서식하는데 익충에 가까운 놈임. 근데 저거 보고 대왕모기라면서 잡아대면 짱개 땜시 뭔 죄임,0,
"짤에 저 crane-fly는 각다귀인데, 생긴게 거대 모기 같을 뿐 피는 안빠는데?",0,
지인분이 저기사는데 그렇지 않다던데.. 중국건축가들이 바보도 아니고 벌레꼬일생각안하고 만들진 않았을듯 생각보다 사람많이 산다더라,0,
중요한건 어떤식물을 심느냐인데 그걸 고려안하고 미관만 생각해서 만들어낸 참사가 중국임...,0,
"식물을 잘 골랐어야지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  그리고 식물 저렇게 심어놓으면 건물수명이 단축되지 않나? 어떻게 방수처리를 하고 난리를 쳐도, 식물은 답을 찾던데?",0,
각다귀가 뭔지도 모르는 기자수준,0,
그는 “일반적인 홀로루시아 미카도의 날개 길이는 약 8㎝로 내가 잡은 것은 그보다 훨씬 크다”면서 “중국 쓰촨성 일대에서 발견되는 이들 모기는 일본산 모기들보다 평균적으로 더 크다”고 말했다.  또 “이 모기는 수명이 약 일주일 정도이며 실제로 사람을 무는 종은 아니다”면서 “이유는 유충 시절 섭취한 영양분으로 남은 생애를 살기 때문”이라고 설명했다.,0,
안물고 그냥 섹스하고 뒤지는 종임,0,
근데 존나 많으면 좆같긴하겠네,1,
그나마 다행이네,0,
딱 보면서 벌레생각했는데 아니나 다를까,0,
팅커벨급이네,0,
일단 작은 모기라도 꼬이니까 ㅈ같겠네,0,
짱깨랑 모기 중 뭐가 더 사라지면 좋겠음?,0,
바퀴 vs 모기,0,
짱깨,0,
짱개 1557표,0,
근데 이게 환경오염에 대한 효과가 잇긴함? 미미하지않나 미관만 이상해지는거같은데,0,
사천지역이면 존나 습한데 아닌가? 어디 이태리랑 같은 환경을 조성하려 하낰ㅋㅋㅋㅋㅋ,0,
꺄아악,0,
벌레 싫어,0,
"잘못된 정보, 호도된 반응.",0,
난 모기보다 뿌리쪽이 걱정인데? 건물 안무너지나?,0,
벌레존나나올듯,0,
장깨가 나무를 잘 못 고른거야 아님 거기선 피톤치드 나무가 안 자라는거야?,0,
걍 부러워서 아무 식물이나 꼴아박은듯,0,
저 나라면 충분히 그럴만 하네,0,
각다귀는 입이 없대용,0,
머리가 멍청하면 몸이 고생하는군,0,
그냥 둘다 병신 아닐까,0,
드가자~,0,
https://arca.live/b/soulworkers/32550762  문의법 + 각종 링크 추가해뒀음,0,
고생한다 화니팅,0,
집가면바로한다,0,
ㅋㅋ,0,
이따 집가서해야겠노,0,
퇴근박고 바로함,0,
퇴근하고 러쉬간다 아ㅋㅋ 외양간을 유저가 뜯어고치라고 하는 상황까지 한해에 벌써 두번이나 하네 ㅋㅋㅋ,0,
자 드가자,0,
하고왔다,0,
밥먹고 바로한다,0,
폰으로 가능하노? 바로 꼴아박고싶은데..,0,
문의는 몰겟는데 자게 건게 올리는건 되지 않나,0,
이거 이미지파일로 저장해서 게시판에 올리면 되는거 맞지? 1차 성명문때 어케 했는지 기억이 안나네,0,
맞워요,0,
혹시라도 문의 러쉬할 소붕이들 참고 설문조사 결과 링크 https://page.onstove.com/soulworker/kr/view/7643639  본문에 추가하는건 어떨까 싶음,0,
내 글들엔 다 올렸는데 본문이라면 어딜 말하는거?,0,
아 그러네 마지막줄에 써있는걸 내가 못봤다 미안하다...,0,
ㄹㅇ,0,
정확히는 롤충이 아니고 특정팀팬임,0,
아니걍 평소에도 질병겜거리면서 지 롤하는거 쳐올리는 새끼들 많음,0,
"설정 - 기타 - 뮤트 들가서 ""롤"" 이거랑 ""슼"" 이거만 차단하면 클린 유자챈 ㄱㄴ",0,
와 씨 방금 내가 단 댓글도 안보이네 ㅋㅋ,0,
베라보냈다 ㅋㅋ,0,
활짝핀 ㅋㅋㅋㅋ,0,
11시 새끼는 노말도 반숙 안되나보네,0,
활짝핀 ㅅㅂㅋㅋㅋㅋ,0,
엌ㅋㅋㅋ,0,
너가 최고야 콘,0,
활짝핀 존나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,
코작핀ㅋㅋ,0,
족고수 ㅋㅋㅋㅋㅋㅋ,0,
이정도 순발력이 있어야 하드 가는구나,0,
난 반대로 내가 11시 다핀인데 2시도 폈다고 해서 애들 다죽었는데 ㅋㅋㅋㅋㅋ,0,
와 순발력 ㅋㅋㅋㅋ,0,
