content,labels
트릭스터가 역대급으로 망했다던데,0
좆같이 만들었으니까,1
햇살살 가수 우가우가tv 시절 허벅지 장난 아니노,0
침싸개들은 연예인 뜻도 모르노? ㅋㅋㅋ,0
이색긴 이상한데 초점잡네 침싸개 거르고 이말년 시절부터 티비 종종 나와서 연예인은 맞어,0
컨셉임?,0
연예인뜻 다시 보고와라 ㅋㅋ 티비종종나오는게 언제부터 연예인이냐 정치인들도 연예인이노?,0
그럼 농구선수 출신 서장훈도 연예인 아님? 이말년 나혼자산다도 나오고 티비 고정예능프로도 했었던 사람인데 연예인 아니라고?,0
너도 뜻 모르는듯;;,0
침싸개들 수준이 원래 그 정도인데 ㅋㅋㅋ,0
침착맨 옷벗고 사과해라,0
큐라레네,0
저렇게 빨대로 방송시작하는거 존나 역겨움,0
빨대라는 단어보다 나랑이라는 단어가있는데,0
하꼬게이 화났노ㅋㅋ,0
씹하꼬,0
빨대도 능력,0
인맥없는 병신하꼬새끼,1
헛헛단 들만들어오세요 ㅎㅎ,0
토르좌 요즘도 방송하나,0
뭔 조선족같이 말하노,0
밑에 글 제목 복붙한거임,0
뭔말인지를 이해 못하겠음,0
오늘자 서새봄 의상 레전드 ㅗㅜㅑ...jpg,0
침착맨 렉카들 표적 안당하려면 영상내리고 위약금 물면 되는거 아님?,0
걍 무시할거 같은뎅,0
렉카들 하나둘씩 물고 조회수 백만 넘으면 무시못하지 않을까,0
이걸로 표적 당할일 절대로 없다고 봄 개하꼬렉카들이면 몰라도,0
침붕이 요약글은 하나도 옶네,0
이 링크로 들어가봐 잘 요약해주더라,0
해명이 별내용이 없어,0
이정도로 분위기 안좋은줄 몰랐다 죄송하다 다음부터 잘 살펴보고 광고하겠다,0
걍 미안하다 담부턴 신경쓰겠다 끝,0
리니지 싫어요 테러 당함 이 정도로 민심 안 좋은지 잘 몰랐다고 사과함 끝인뎅,0
애초에 논란도 아닌데 뭘 ㅋㅋㅋㅋ,0
88 꼬았으면 근주랑 풀면되는거아님?,0
칸예웨스트가 누구임?? 페이커보다 돈 더잘범??,0
페이커보다훨씬잘범ㅋㅋ,0
이지부스트 모르시나,0
신발 매출만으로 아니키 자손들 대대손손 노예로 평생 부려먹고도 돈이 넘친다더라,0
그 겜중독자보다 잘범,0
근데 칸회장은 진짜 좆같긴하겠네 ㅋㅋㅋㅋㅋ,1
그새끼 좆같은걸 왜 신경써 씹년아 ㅋㅋㅋ,1
그사람이 ㅈ같을게 뭐있노 ㅋㅋ 룩삼 얍얍을 잘몰랐던거지 룩삼은 애초에 방송을 죽어라 하는 스타일도 아니고 얍얍도 마찬가지임,0
돈이면 다 될줄 알았는데 돈만받고 지죶대로 하는애들이 은근히 많았던거지뭐 ㅋㅋ,0
이런 일반인 걱정글부터 쓰지마라 회장견아,0
방송 쥐흔하려는 사람이 병신이지 방송인들이 걔 하나에 쥐흔당해서 걔 입맛에 맞춰 파티 짜야하냐?,1
쥐흔 안한다매 좆같을건 뭐임,1
호구마냥 계속 돈이나 퍼주지 지가 뭔데 방송에 개입할라고,0
쥐흔충 맘대로 안되는거 개꿀잼임 ㅇㅇ,0
돈으로 지좆대로 되는건 칸밖에 없음 ㅋㅋ,1
지맘대로 생각하노 피싸개인가,1
NC소프트 얼마에 주으면 되냐? 딱50내려앉을때 주을까?,0
근개비들 또 념글로 혐오스택 쌓고있네,1
닥쳐 병신 헛헛한년아,1
침붕이)침착맨 모유먹이는 짤.gif 올린 사람 30일 정지먹였더니,0
칸해장이 홀나좌는 지원해줌?,0
템 좋아서 산악회 낀거 아님? 산악회 다 종결급이자나,0
저새끼 로아빨로 떡상한거 역겹네,0
사람 한명 찾습니다 ㅠㅠ.jpg,0
한강 수온 25.3도,0
서새봅이 구라쳤을 가능성이 높지,0
이새끼 왤케 화났노 모솔임?,0
헛!,0
맞네 ㅋㅋㅋ,0
헛헛,0
모솔왔노 또,0
유튜브 좆되니까 헐레벌떡 사과 ㅋㅋㅋ,1
맞지 유튜브수익이 대부분일텐데 ㅋㅋ,0
ㅋㅋㅋ 당연한걸 묻노 트위치생방은 고작 만명 침펄풍 영상은 3시간짜리도 2백만명인데,0
봄만대장경 기사편 개웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
Krpg 안해봐서 nc가 왜 나쁜건지 모르겠다,0
ㄹㅇ 어차피 내가 안하는 겜이라 ㅋㅋㅋ,0
넥슨은 그나마 어릴 때 좀 했고,0
넷마블,0
ㄱㅅ,0
아프리카 대통령 근황ㅋㅋㅋㅋ,0
공지)침착맨 사과문 카페공지...jpg,0
침싸개들은 그냥 대깨문들이랑 다를게 없음 ㅋㅋㅋ,0
뭐만 하면 몰아가는 게 너도 민주당이냐?,0
"논란일자 ""대깨문""",0
국산게임의 희망.gif,0
로아갤에서 이런거 올리시면.. 로기견도 같이 화내요~,0
스갤에 로기견이 어딨음? -> 홀나 방송중계중 ㅋㅋㅋㅋㅋ,0
운좋게 산악회낀걸로 방송하자마자 천명대 ㅋㅋ,0
침) 리니지를 까는건 인터넷에 만연한 혐오문화 때문이다.,0
농담같은ㄷㆍ기,0
데,0
역시 우리침,0
캬~,0
"""문재인 지지자""",0
얘 요새 말 많은거 보니까 조만간 뭐라도 하나 꼬투리 잡혀서 터지긴 하겠다,0
이러셨던 분께서 오늘은 태세전환이 우디르급이시더라구요...유튜브 비추가 무섭긴한가봐요~ 본방 개돼지들이 폭동일으킬때는 휴방으로 겁주시더니,0
논란일자 '혐오',0
어이가 없네 ㅋㅋ,0
홀나좌 방에 피냄새 오지게 지리네 ㅋㅋ,0
운이건 인맥이건 결국 밑천드러나게 되는거,0
리니지 버블 붕괴... 이틀간 4조 증발...위기의 NCSOFT,0
지금 -7퍼인데요 짤바꾸셈,0
유튜버는 광고 안받는게 나은듯,0
홀나좌 근데 어차피 얼마 못가 지금만 저렇지,0
2주본다',0
캠이랑 실물 다르면서 어떻게 알아본다는거지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
나이저리쳐먹고 죄다 우쭈쭈해주니 애새끼가 되네,0
증오.jpg,0
인방도 레드오션인데 홀나좌처럼 하는게 정답아니노,0
ㅋㅋㅋㅋㅋㅋㅋㅋ 하꼬들 ㅂㄷㅂㄷ,0
리니지=사채충들 논리 ㅈㄴ웃기노ㅋㅋ,0
요즘 인방계에서 혼자 클 수 있냐?,0
얘는 혼자 클 수 있을 것 같지 않냐?,0
칸회장이 확실히 착하긴함,0
욕먹고 싶어서 이런글 쓰는거? 축리웹으로 꺼져,0
침 광고단가 더오른거아니냐?,0
ㅇㅇ 20년도기준이랑 21년도 단가기준 확틀리지,0
홀나좌가 그냥 선바 이어받았으묜 ㅇㅇ ㅋㅋ,0
오늘 조강현 방송 허냐??,0
우가다 : 코인홍보해서 난리침,0
열등감,0
게임계를 좀먹는 곳이라구욧!!!,0
코인사건도 좆도없는데?,0
우가다는 광고철회함,0
아 이건 너무 알못인데,0
리니지가 게임? ㄷㄷㄷ,0
햇살살 확실히 나이가 많은듯..,0
30은 확실히 넘는거같은데,0
"나이많음 ㅇㅇ . 아프리카에선 88년생이라는데, 서새봄이 벽세우는거보면 동갑이거나, 행적상으론 87년생이 맞을꺼임.",0
어제 NC 주식 산다던 호감고닉들이 안보이네요,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그걸 왜사나 ㅋㅋㅋ,0
목표가 줄줄이 하향했던데 큰일,0
왜 사 병신아,1
그걸 저한테 물으시면..,0
여스 비키니 쩍벌....jpg,0
서새봄도 대깨문이냐??,0
어차피 다음 대통령은 이재명,0
홀나좌 혹시 칸해장 아님?,0
ㄴ 다름,0
아니라고 병신아,1
목소리가 달러 칸회장 자주 디코에 등장함,0
침붕이 해명방송 보는데 왜케 광고 한달에 2번 한다는거 강조하냐,0
요즘에 리니지 아재들 빡친거 보면 웃김,0
로아유저는 아직도 못깨달음 ㅋㅋ,0
칸회장이 쥐흔해서 하려던 산악회가 이거임?,0
훠훠 소풍왔니 어디가쒀,0
침싸개들 티비 종종 나온다고 다 연예인이면 ㅋㅋ,0
그럼 연예인 되려면 무슨 자격시험이라도 있노?,0
안하면 대지 왜 굳이 하려고함??,0
적어도 뜻은 제대로 보고와라 ㅋㅋ,0
연예인 기준이 뭔데 븅신아 싸이 기준이면 그정도 있지,1
그래서 티비 종종나오는게 연예인이다?,0
오늘 풍월량 단군 승우아빠 로스트아크 발탄,0
개씹노잼이겠네,0
이건 거른다,0
풍월량방 시청자들도 안볼듯,0
그걸 누가봄,0
펄어비스 언제 익절해야되지ㅠㅠㅠㅠㅠㅠ,0
이 사람이 잘 알려주더라,0
광고오지네,0
돼지 국밥 맛있음???,0
맛있음 국밥 상위티어인 이유가 있,0
걍 돼지 육수에 새우젓 넣고 수육에 밥말아먹는 맛이지,0
근88 떡밥이 훨 궁금하다,0
침싸개새끼 어떻게든 어그로 돌리려고 ㅋㅋ,1
ㅋㅋㅋ 침싸개,0
88이 근주보다 평청자 잘나옴?,0
근주 평청자 씹창임,1
근주 스갤유동 공유방송이라 칸룩얍따 쌍베 이런애들켜면 시청자 천명대로 떨어짐,0
그니깐 스갤에서 이렇게 88까면서 쉴드쳐주지 ㅋㅋㅋ,0
가끔 추천뜰때 보면 칠팔천 이래서 평소에도 개잘나가는줄알앗는대 돌통령이 왜그래됫냐 ㅋㅋ,0
내 개인적 의견이지만 몇달전부터 이런저런 합방 스갤픽들이 주도하면서 유동시청자 펌핑되긴 했는데 문제는 합방유동은 커뮤어그로따라 움직이고 콘트리트 아니란거지. 결국 최상위 동수칸이 시청자 다 먹고 나머진 평청자 다 떨어짐. 쌍베 따 얍 룩 전부 합방때만 시청자 오르고 평소엔 옜날보다 시청자 떨어짐,0
결국 개인방송 하는 봄 김도 이런애들은 유동땜시 시청자 떨어진거 같아도 평청자는 다른 일시적 펌핑된 애들보다 높은거같음,0
침착맨 구독자 변화 근황.jpg,0
뭐 별거 있을리가,0
침붕이좆됐노ㄷㄷㄷ 사채급광고해서ㄷㄷㄷㄷ,1
애초에 존나 불탈일도 아니긴했음 ㅋㅋㅋ,0
그저 스까흥 ㅋㅋㅋㅋㅋㅋ 침붕이 연전연승,0
큰사건도 아니고 뒷광고도 그냥 넘어갔는데 당연하지,0
무료눈깔새끼들이 뭐있겠냐,1
진짜 저걸로 침착맨 나락갈줄알았노?,0
그냥 떡밥 굴리는거지 ㅋㅋㅋ,0
상승세 개쩌네,0
방송할때 채팅창에서도 다리전투씬에서 붕쯔붕쯔 존나나옴,0
저런애들특 g식백과 구독함,0
중근웹이 까는 g식백과면 ㅅㅌㅊ 아니노?,0
엔씨 매수타이밍 50층 맞냐?,0
미래가 없는데 40층 무슨 의미 ㅋㅋ,0
이번엔 진짜 바닥이 안보이는거에요,0
팡야m에 리니지w 출시로 내려갈일만남았어,0
5년차트 봐라 지금도 꼭대기임 ㅋㅋㅋ,0
코로나 터진 20년 이전 주가 보는건 좆도 의미 없음,1
코로나 이후로봐도 꼭대기인건 같음,0
스붕이들아 포경 꼭 해야돼냐?,0
발기시 귀두 나오면ㄴ 안나오면ㄱ,1
냄새 별로 안나는건 좋긴해ㅇㅇ 근데 안해도됨,0
포경 안해도 되는 이유 여기서 자세히 알려줌,0
진성포경 감돈포경이면 해라,0
길거리 일반인 ㅗㅜㅑ...jpg,0
커엽네,0
로기견분들 스토킹하면서 댓글 그만달아주세요 무서워요,0
짤 만들어옴.jpg,0
누가 로기견 건들래?ㅋㅋㅋㅋㅋ,0
근개비 또 너야??,0
전라도 실시간 산불 캡처 ㅋㅋ,0
웃기냐?,0
해외이슈인데 그럼 뭐 울어야함?,0
라도인?>ㅇㅇ(125.191) [LGU+]웃기냐?08.27 13:22:33,0
네다센,0
정보) 오늘 저녁 블서대회가 있습니다,0
언제 망해,0
침착맨은 사실상 연예인 아님? 트위치 스트에서 가장 유명하고,0
사실상이 아니라 그냥 연예인인데 무슨소리노,0
"""사실상"" 연예인이지 연예인은 아닌거 같은데",0
인성 쓰레기,0
침착맨 사과 제대로하는 법,0
침싸개들 지금 제발 따효니가 이니시열어주길 기도함,0
진짜 현실 침붕이는 아무런 타격없음 ㅋㅋ,0
애초에 유툽떡밥이라 따효니가 뭘하든말든 아무관계없는데,0
엔씨 건드리지 마라 전형적인 펀더멘탈 손상난 주식이다,0
리니지 광고해서 미안합니다~~~~~~~,0
침착맨 싫어요도 스붕이가 찍은거 500개도안될듯,0
로정공들이 8할일걸,0
스붕이들 폰중계 좋아해서 100개도 안될걸..,0
난 유튜브 로그인도 안하고봄,0
스붕이 500 로기견 1000,0
스붕이 200명도 안되는거에요...,0
그냥 침붕이 유튜브 영상중에 저거보다 재미없는거 하나라도 있냐?,0
재미는없고 광고만 띡하니까 비추박힌거지,0
로아 인구 100만인데? 로기견 소행이지,0
새봄추 대학생 시절..jpg,0
어째 늙지도 않았냐 지금이랑 똑같네,0
지금이 더 낫네,0
평교원 시절로 수정 좀,0
그만 싸우고 칸예 라이브나 보러 ㄱㄱ,0
로기견 화난이유) 커마를 자기맘대로함,0
상폐다된 개미친년 히스테리 좆되게 부리네ㅋㅋㅋ,2
게다가 계란요리도 피해야됨,0
정신병도졌네,0
호감고닉 탱크보이 182cm님! 똥탱크가 뻐꾸기짓을 한게 유력 시 되는데 어떻게 생각하시나요??,0
미안해..,0
이런애들이 그 스토커하다가 칼질하고 그런애들 아니냐 ㅋㅋㅋㅋ 연애도 못하고 직업도 없고 ㅋㅋㅋㅋㅋ,0
나 씹덕혐오하는데 돈주면,0
지조있네,0
그래서 안주는거임,0
침붕이 떡밥 씹노잼이네,0
근데 생방송보다 유튜브가 더 광고비 많이 받지 않냐,0
침착맨 하루 조회수가 근주 똥수칸 월뷰로 찍히네 ㅋㅋㅋ,0
ㄷㄷㄷㄷ,0
랄서운이야기..gif,0
영혼만남았노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
사스가 캬니키,0
진짜 무지성과 당황한 방청객,0
사스가 캬니키ㅋㅋㅋㅋㄱㅋ,0
캬 도배 ㅋㅋㅋ,0
사스가 캬니키 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
개웃기네 ㅋㅋㅋ,0
진짜 쫌생이네 씨발 ㅋㅋ,1
겆자돌 저리가라네,0
캬는 왜 밴하는거??,0
???: 무지성 캬충들아 나가라<<< 지얼굴에 침뱉노 ㅋㅋㅋ,0
"""진짜 소인배""",0
와 ㅋㅋㅋㅋㅋㅋ,0
캬는 대본에 없었나?,0
ㅋㅑ니키 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
유튜브에 올릴려고 캬는 안보이게 설정해논거같은데,0
전부 밴 당해서 안보이는거야 병신아 ㅋㅋ,1
발작하노 ㅋㅋㅋ,0
좆도 모르면서 아는척 하면 욕쳐먹어야지 랄싸개련 ㅋㅋ,1
말해줘도 발작 ㅇㅈㄹ,0
진짜 인방에 미쳤구나 랄로방 보지도 않는다 ㅋㅋㅋ,0
오른쪽이 다시보기 채팅이고 캬가 안나오는 거임. 왼쪽이 송출화면이고 캬가 나오고. 니가 하는 말이 앞뒤가 안 맞는다 이 말이야.,0
다시보기엔 남아있는데 안보이게 설정했다는게 대체 뭔소리임??,0
송출화면은 그대로 녹화가된상태이고 캬는 나중에 매니져가 벤을때렸기때문에 채팅기록에 뜨지않는것,0
병신,1
