content,labels
좆냥이한테 주먹질 한것도 아니고 존나 개유난이야,1
진심 저게 학대임? 으,0
심기불편한 좆냥이 표정 커엽노,1
코엽긔,0
하루종일 밖에서 돌아댕기는 길좆냥이보다 겨둑 피부가,1
더 더럽긔 웅,0
좆냥잘알인데 저 좆냥이 이쁨받으려고 다가온거긔,1
손으로 막 헤집었을때 안 할퀸거부터 좆간 좋아하는 좆냥인데 불쌍하긔,1
걍 이제 겨둑이 보면 거북하고 불쾌해,0
좆옌은 이미지가 생명인데 훅 갓긔,1
"저 좆냥이 순한것도 맞고, 좆냥이한테 긁혔다고 글 쓰는년들은",1
좆냥이 존나 귀찮게 괴롭힌것도맞긔,1
부천폰팔이 혐이와 양산별창 겨둑이,0
잘어울려,0
일단 저 좆냥이는 겨둑이가 시른거긔 ㅇㅇ,1
아는 쌍도년도 좆냥이 이렇게 만지다가 혼나써,1
맨날 카페 앞에오는 좆냥이 저렇게만지니까 띠니가 야 그만해 싫어하겠다했더니 계속 만지다  좆냥이 키우는 카페사장이 안돼요 안돼 이러면서 이렇게 만지지말라했긔,1
겨둑 좆냥이 빻았다는 온냐들 진짜 빻은 좆냥이봐야됨,2
얼굴 짧고 눈색 털색 ㅅㅌㅊ에 눈 반만 뜬것도 나름 커엽긔,0
저 좆냥이 겨둑이가 소리질러서 도망갈때 털 섰긔,1
놀란거야,0
키우는 좆냥이는 몰라도 길좆냥이는 사납긔,1
이모린 갑질 또터지는거 막으려고 머공 혐애 터트린 것,0
같지 안노 일부러 관심 쏠리는 거 방향 바꾸려고,0
약젠 솜다 코즉 공통점,0
햄버거먹다 사진찍힘,0
약젠은..,0
아가 코즉이 제일 이쁘긔 ♥,0
냥퀴벌레 캣맘충들 왤케 많아짐?,1
봊초년들도 걍 디씨하는구나,1
근데 당연히 좆냥이보단 좆댕이가 커엽지 않노?,1
좆냥이 말도 안 듣고 무식하고 행동도 이해 못 하겠고 맨날 엉덩이 때려달라면서 좆간한테 대딸이나 시키고 기분 좋다가도 할퀴고 깨물잖아 아기땐 커엽다가 크면 역변하고 ㅇㅇ 좆댕이는 좆간을 위해 진화하다시피했는데 말이긔,2
짖고 개걸스럽고 물어서 사람 죽이는건 좆댕이가 더 심한데 괜히 개새끼를 욕으로 쓰는 줄 아노,1
그건 교육을 못 받아서 그렇긔 ㅇㅇ 근데 좆냥인 교육도 안 되는 애물단지긔,1
좆냥이는 눈이 뱀같아서 무섭긔,1
겨둑이 화제성은 아니고 좆냥이를 건드린죄가 큼,1
좆냥이갤 념글 가보면 못생긴 좆냥이 사진 개많긔,1
저런 좆냥이들은 어디서 찍어오는거노,1
근데 고양이 커엽다 솔직히 겨둑이보다 이쁨,0
보딸이 이짤 뭔가 기괴하긔,0
체형 신기하노,0
이 좆냥이한테 겨둑이의 약점을 알려주고잡긔,1
소리지른거 유무 차이같은데 한쪽은 두피마사지 한쪽은 동물학대 ㅇㅈㄹ,0
김치년들 도대체 왜그러냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
겨둑이도 사주에 망신살 있노,0
악의는 없는 거 같은데,0
겨둑시녀들아 느금을 보시긔 술쳐먹고 발라당,2
넘어져도 기사 한줄안뜨자노 이게 느금이긔 안 뜨면 저런 오해같은건 애초부터 있지도않긔 저주파가 뜬걸 어쩌노,0
겨둑이 기사뜸?,0
뜨또 실차에 노래3개나 있어,0
겨둑이 갓혐의 싼티+창열이의 망신살을 갖춘 엄청난 봊돌이,1
인간양산,0
좁장수 같은데,0
약젠 그냥 아무사진이나 올려도 좋아요가 700만개긔,0
.....세상에,0
좆냥이 청각ㅈㄴ예민해서 소리지르거나하면안된다며,1
그래서 처맞는거같은데,0
근데 이건 솜다가 약젠 따라했다고 하기도 민망하노,0
보통 원본이 더 나아야 그런 말을 할 수 있는데...,0
밑에 진짜 비위상해,0
근데 눈찢어지고 중안부 길고 좀 존못인 좆냥이가 착하긔 ㅇㅇ,1
눈크고 이쁜년들은 아주 앙칼지고 도도해 ㅇ,0
한남이었으면 하지마해도 계속 박다가 3초찍하게 생김,2
ㄹㅇ스킨십 좆같이하노,1
느금은 개새끼 학대해도 관심도 못받는구나 ㅜㅜ,1
퀸주파 승,0
ㅋㅋㅋ,0
메까반응-두피 마사지 커여워 겨둑반응-저거 동물학대 아님?,0
소리지른거 차이 밖에 없는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
저 영상 학대고 뭐고 존나 못배워먹은거같긔,0
아니면 정신연령 미취학아동인 정신장혜인이거나,0
고양이가 코 긁고 도망가야 겨둑이도 기분을 알겠지,0
아니 만져도 이렇게 만지는 걸 누가 좋아해;,0
온냐가 좆냥인데 존나 큰 괴물이 온냐 면상 이렇게 박박 긁고 누르고 문지른다고 생각해보시긔 쓰다듬어주는 것도 아니고,1
겨둑이 덕창에서 개같이 까이노,0
"여연갤 3대 병신이 약젠시녀, 학치커시녀, 느금시녀긔",1
이 좆냥이 겨둑이의 약점을 이미 스캔했긔,1
표정보니까 한번 더하면 코 공격하려고 스캔함,0
느그랑 예고 언냐 뭐 안 뜸?,0
언제오노 다음엔 뭐가 더 뜰지 궁금한데,0
좆댕이 이렇게안으면 허리디스크오긔,1
개념없노,0
근데 왜 딱갤주보다 느그랑이 타격 더커보이긔?,0
딱이는 그래도 대가리깨진 애미들 몇몇은 붙어있는 느낌인데 느그랑은 그냥 애미가 썰물처럼 다빠져나가긔,2
빻순이 숫자가 달라서 그렇대,0
빠는 이미지가 스윗중남이었는데 그 이미지 다 깨져서,0
이 좆냥이 메까보다 스타성 넘치게 생김,1
좆냥이는 묘한 매력이있긔,1
싸가지없고 사납고 그럴줄아는데 키워보면 존나 순하고 행동 하나하나가 사랑스럽긔 뽀뽀하고 만져도 절대 안물긔,0
검은좆양이 뭔가 다 점잖긔,1
검은좆냥이 좋아,1
이년 코를 확,0
존나 큰 괴물이 온냐 박박 긁는다고 생각해봐,0
머갈아 ㅜㅜㅠㅠ,0
지금이라도 겨둑이는 조용한 컨셉으로 수정해주시긔,0
조용한 게 나아,0
좆냥이 표정 보시긔 ㅇㅇ,1
지금 빡친 상태긔 ㅇ,0
근데 좆냥인 원래 저렇게 생겼어,1
겨둑이 하필 좆냥이라서 더 까이는것도 있긔,1
좆댕이였으면 저렇게 안까였긔,1
약젠줌냐 머공이 이기려고 이모한테 발린짤 올리긔,0
이모는 인정인데 머공이는 인정 안하긔,0
당연히 이모는 존예니깐 머공시녀야,0
똥찬이 학대는 쳐맞지도 않고 겨둑이만 쳐맞는거 기괴하노,0
똥찬이는 소리안질렀잔아,0
아가 천사 코즉 사랑해,0
방송하다가 큰일날뻔했노,0
개웃겨,0
